	Address	CATEGORY	Date	Text	Title
92	Alandi	KIDNAPPING	2/15/2018	The Government Railway Police (GRP), Pune on Wednesday arrested 24-year-old Sachin Patil from Alandi, an accomplice of Anushka Ranpise (41), who had kidnapped an eight-month-old baby girl from Pune Railway station of February 5. GRP team led took Patil into custody from Dighi. The baby was rescued on Monday.	One in cop net for kidnapping
93	Chinchwad	ASSAULT	2/15/2018	Harshada Umesh Kamble, 21, from Walhekarwadi sustained 30 percent burns after her husband set her on fire by pouring diesel late on Tuesday night. The woman claimed that her husband was not allowing her to leave the house. Her mother took her to a hospital. The Chinchwad police team arrested Umesh Kamble on Wednesday.	Husband sets woman on fire
94	Phugewadi	THEFT	2/15/2018	Unidentified persons broke-into a flat in Phugewadi and made off with gold and silver ornaments collectively worth Rs 7.61 lakh. The theft happened when the owner Sandesh Jadhav (31) had gone out.	Burglary in Phugewadi
95	Wanowrie	SEX OFFENSE	2/15/2018	The Wanowrie police on Tuesday detained a 15-year-old boy for sexually assaulting his minor cousin on February 11. Both of them study in the same school. The girl (6) is a student of Std VI, while the boy is a Std IX student. “We detained the boy after the girl’s mother filed an FIR under the IPC and Protection of Children from Sexual Offences Act. The boy was produced before the juvenile court, which sent him to a correction home,” sub-inspector Rekha Kale of the Wanowrie police said on Wednesday.	Boy detained for sexual assault
96	Bibvewadi	ASSAULT	2/15/2018	Three unidentified men on Monday thrashed a 22-year old security guard and robbed him of his cash and cellphone collectively worth Rs 9,000. The robbery occured when the guard was returning home to Sukhsagarnagar in Bibvewadi in the wee hours of Monday morning.	Three men rob security guard
97	Kondhwa	THEFT	2/16/2018	Within a span of three hours on Wednesday, two incidents of people returning from banks being robbed of their cash took place. In both the cases, it is suspected that the robbers had followed their victims from the banks. In the first incident, two men followed the employees of Satish Sathe, a businessman, from a bank in Sangvi at around 11.30 am; broke the window of their car and made away with Rs 50,000.	In two cases, robbers hit men coming from banks
98	Shukravar Peth	ASSAULT	2/16/2018	Two brothers — 44-year old Jaki Imanullah Mohammed and Shoaib (27) — were arrested on Wednesday night for beating up an on-duty traffic policeman near Gotiram Bhaiyya Chowk in Shukravar Peth.	Brothers arrested for punching cop after flouting ‘no entry’ rule
99	Raviwar Peth	THEFT	2/16/2018	Unidentified persons broke into a house at Raviwar Peth and made away with car accessories worth Rs 7.78 lakh. The theft came to light on Tuesday when the owner of the accessories Farhan Sayyad came to collect them. The Faraskhana police said that Sayyed had kept the material from his shop at his uncle’s house in Raviwar Peth. The suspect entered the house by breaking the locks on the door.	House break-in at Raviwar Peth
100	Swargate	THEFT	2/16/2018	Two motorcycle-borne men snatched a 27-year old man’s cellphone worth Rs 8,000 near Swargate on Tuesday afternoon. The incident occurred when the complainant Shrikant Kharat of Parvati Paytha was walking towards his home.	Two grab cellphone worth ₹8,000
101	Sahakarnagar	SEXUAL OFFENSE	2/16/2018	The Sahakarnagar police have arrested a 40-year old man for raping a 25-year-old woman after promising marriage. The police said that the suspect and woman worked in the same shop. The suspect had told her that he would divorce his wife and marry her. When the suspect did not marry her, the woman lodged the complaint against him.	40-year-old man arrested for rape
102	Chinchwad	SEXUAL OFFENSE	2/16/2018	The Chinchwad police have booked an externed criminal Aakash Kale (26) for outraging the modesty of a 17-year-old girl on Wednesday. The suspect later ran away from the area. Kale has been externed from Pune city and district limits for a period of two years.	Cops book criminal for harassment
103	Chinchwad	THEFT	2/16/2018	A woman returning from the bank with jewelry worth Rs 1.74 lakh, which she had taken out of her locker, was targeted by two motorcycle-borne robbers under a flyover in Chinchwad on Thursday. Nanda Chinchwade, of Walehekarwadi, had gone to a bank to get her ornaments. Her husband and son accompanied her. When the family was returning home on their two-wheeler, they stopped under a flyover. Two men on a motorcycle snatched her bag containing ornaments and fled, said an officer of Chinchwad police.	Bag containing gold ornaments snatched
104	Chinchwad	THEFT	2/16/2018	The Pimpri police on Wednesday arrested three youths from Mahatma Phulenagar in Chinchwad for robbing Rs 4,300 cash from a grocery store on Tuesday night. The suspects had also ransacked other shops and damaged a few vehicles parked nearby.	Three youngsters held for robbery
105	Hadapsar	DECEPTIVE PRACTICE	2/16/2018	Two partners in a construction firm have been booked for allegedly cheating a home buyer of Rs 68.5 lakh against the commitment of selling him a flat in a housing project near Shankar Maharaj Math in Hadapsar.	2 realtors booked for cheating
106	Hadapsar	SEXUAL OFFENSE	2/17/2018	The Hadapsar police on Thursday detained a 17-yearold boy for raping an eight-year old school girl here. The girl is a Standard II student, while the boy is pursuing a diploma course. They are neigbours.	17-year-old detained for raping minor school girl
107	Wanowrie	THEFT	2/17/2018	The Wanowrie police on Thursday booked five men for robbing a security guard of Rs 12,000 and a cellphone. The incident took place around 3.30 pm, minutes after he had collected his salary from a construction site at Ramtekdi.	5 booked for robbing security guard
108	Mundhwa	SEXUAL OFFENSE	2/17/2018	The Mundhwa police on Thursday arrested a 47-year-old man for stalking his neighbour’s 16-year-old daughter for the last five months. Frustrated by the man’s harassment, the girl on Thursday complained to her mother, who immediately approached the police and lodged the complaint.	Neighbour arrested for stalking minor
109	Junnar	DECEPTIVE PRACTICE	2/17/2018	The state anti-corruption bureau (ACB) Pune on Friday arrested Vandana Lohakare 31-year-old employee from the land records office in Junnar while accepting Rs 20,000 as a bribe. Lohakare had demanded Rs 40,000 from the complainant to give him copy of measurement of the latter’s land in Junnar. Lohakare was arrested while accepting first installment of Rs 20,000 from the complainant.	Woman held in graft case
110	Chinchwad	HIT AND RUN	2/17/2018	Inder Baliram Kawde (55) of Chikhali, who had sustained severe injuries after being knocked down by a speeding motorcycle in Chinchwad on Tuesday morning, succumbed to his injuries on Thursday. The Nigdi police have booked the driver for rash driving. The accident had happened when Kawade and his friend, Raju Bhor (50), were walking home, police said.	Pedestrian killed in accident
111	Wakad	ASSAULT	2/17/2018	The Wakad police on Thursday registered an offence against a resident of Thergaon for abusing an employee of Maharashtra State Electricity Distribution Company Limited , when the latter was taking a video of the tampering of the electricity meter at the suspect’s house. The suspect abused the complainant Dhanajay Kamble (31) and also threatened him with dire consequences.	1 booked for abusing MSEDCL employee
112	Chandannagar	Murder	2/18/2018	The Chandannagar police arrested two men and booked an accomplice for killing Pavan Baburao Kamble (19) of Kharadi over an old rivalry on late Friday night, According to the police, the trio, armed with sharp weapons, assaulted Kamble in Thite Vasti. The police suspects said the suspects and and the deceased had been feuding for a year.	2 held for murder of 19-year-old
113	Hinjewadi	HIT AND RUN	2/18/2018	Balu Pandurang Bhaval, a 50-year-old resident of Maan village, near Hinjewadi, died after he was knocked down by an unidentified vehicle on the Hinjewadi-Maan Road on Thursday morning. Police said the man was out on his routine morning walk when the accident took place.	Pedestrian dies in hit-&-run accident
114	Wadarwadi	OTHERS	2/18/2018	Kavita Amol Irkal, a 22-year-old of Vadarwadi, off Senapati Bapat Road, ended her life on Thursday afternoon by hanging herself at home. Dhanraj Nalawade (26), her brother, lodged a complaint with the Chatushrungi police, alleging that her husband had harassed her for trivial reasons. The husband and two others have been booked for abetment of suicide.	Woman hangs self over harassment
115	Wakad	THEFT	2/18/2018	The Wakad police arrested Vishal Pande (26) of Wakad and booked an accomplice for robbing Ramcharit Pande (57) at Wakad chowk on Thursday night. In the incident, Pande was robbed of a cellphone, cash and valuables worth Rs 19,900. The suspects accosted him on the road and beat him up before robbing him.	Man arrested, aide booked for robbery
116	Vishrambaug	THEFT	2/18/2018	In three separate actions, the Pune police arrested six persons and seized 52 stolen two-wheelers worth over Rs 14 lakh from them between February 12 and 17. The Vishrambaug police on Saturday arrested two men and recovered four motorcycles from them. One of the suspects, Prakash Shinde (28) of Ahmednagar, was arrested at Mandai for possessing a stolen bike. His interrogation led to the recovery of two more bikes. Another suspect, Devraj Adep (32) from Lohiyanagar, was arrested and a stolen scooter was recovered from him. In the second case, the Chatushrungi police on February 13 arrested three men and recovered 13 motorcycles. The suspects AjitAmbekar (19), AvinashWayal (22) and Sharukh Shaikh (20) from Ahmednagar worked at different catering firms. They started stealing expensive motorcycles for make quick bucks. On February 12, the property cell of the crime branch of the Pune police arrested Sachin Salunkhe (32) from Chakan from PMT Chowk in Bhosari following a tip-off. Salunkhe’s interrogation helped police recover 35 stolen bikes. The vehicles were stolen from Pune, Pune rural and Latur.	Six arrested, 52 bikes worth over ₹14 lakh recovered
117	Deccan Gymkhana	THEFT	2/19/2018	Unidentified persons broke into a bungalow located close to the Deccan Gymkhana police station, on Prabhat Road, on Sunday morning and made away with silver ornaments worth Rs 70,000.	Burglars strike at bungalow near Deccan police station
118	Mangalwar Peth	THEFT	2/19/2018	The crime branch has detailed a minor, who was in the possession of five stolen smartphones worth Rs 95,000. This is not the 17-year-old’s first run-in with the cops. Last year, the minor had burgled noted vocalist Prabha Atre’s bungalow and was detained for another theft too. The teenager was detained in Mangalwar Peth, where he had arrived to sell the smartphones. Inspector Nitin Bhosale-Patil said the action was taken after crime branch (Unit-I) constables Irfan Momin and Shirkant Waghawale received a tip-off about the minor.	17-yr-old who broke into vocalist Atre’s home held for phone theft
119	Budhwar Peth	THEFT	2/19/2018	Unidentified persons broke open shutter doors of an electronics shop located at Budhwar Peth to steal cash and cables, worth Rs 3.36 lakhs, Faraskhana police station said. The shop owner Amanaram Devasi (36) has lodged a complaint.	Cash, valuables stolen from shops
120	Pimple Gurav	THEFT	2/19/2018	Unidentified persons stole 16 batteries and two UPS machines from an ATM center located at Trimurti Chowk in Pimple Gurav in last 15 days. An bank officer, Sachin Kalge (30), lodged a complaint with the Sangvi police station saying that suspects walked away with the batteries and UPS, totally worth Rs 1.74 lakhs sometime between January 30 and February 15.	ATM’s batteries stolen in Pimple Gurav
121	Somwar Peth	THEFT	2/19/2018	Faraskhana police arrested Mansoor Shaikh (19) of Somwar Peth for robbing cell phone of Makse Shaikh (30) of Shivajinagar on November 26, 2017. According to the complaint, the suspect robbed cell phone worth Rs 18,000 when he was driving down to his home from the old parts of the city.	19-year-old held for November robbery
122	Hadapsar	THEFT	2/19/2018	Unidentified persons diverted attention of a 25-year-old man by throwing dirt on him and fled with his bag containing cash of Rs 89,100. The incident happened when he was returning home from the bank.	Duo flees with bag containing ₹89,100
123	Chakan	THEFT	2/19/2018	Within 10 days of a robbery — in which six men beat up a driver and fled with a truck carrying 24 bundles of lead on the Talegaon-Chakan Road — the local crime branch of the Pune Rural police arrested the entire gang and have even recovered the entire booty. The police have also arrested a Bopodi-based scrap dealer, who had purchased the stolen lead from the gang. A team, led by inspector Dayanand Gawade, made the arrests from Pune city.	Police arrest gang that fled with lead-laden truck & recover loot
124	Mangalwar Peth	MURDER	2/19/2018	A 36-year-old man, working as an embroiderer in Mumbai, throttled his wife with a rope in a room at a lodge in Mangalwar Peth on Sunday night and then walked into the Bund Garden police station where he confessed to his crime.	Man murders wife in lodge, walks to cops & surrenders
125	Janwadi	ASSAULT	2/20/2018	The Chatushrungi police on Monday arrested a man for assaulting and robbing cash from a hotelier based in Janwadi, off Senapati Bapat road. The suspect robbed cash worth Rs 24,100 from the hotel on Sunday afternoon.	Troublemaker lands back in lock-up after robbing again
126	Sangvi	ASSAULT	2/20/2018	The Wakad police have arrested a 22-year-old driver from Talegaon for abusing two women traffic constables when he was asked to pay a fine for driving a vehicle without a registration number-plate. The incident took place near the Kalwadi Chowk in Sangvi on Sunday morning.	22-yr-old held for abusing women cops
127	Vadgaon Maval	THEFT	2/20/2018	Two men on a motorcycle snatched three gold chains worth Rs 2.38 lakh from a 47-year-old woman, who was waiting for a vehicle outside a marriage hall at Vadgaon Maval, on Sunday. Vadgaon Maval police are probing the case.	Three chains worth ₹ 2.38 lakh snatched
128	Bhosari	THEFT	2/20/2018	Two men on a motorcycle snatched a gold chain worth Rs 1.37 lakh of a 50-year-old woman in Indrayaninagar, Bhosari, on Sunday. The Bhosari MIDC police said the woman and her daughter were heading towards Vrindavan Society when the incident occurred.	Motorcycle-borne men snatch chain in Bhosari
129	Pimpri	ASSAULT	2/20/2018	The Pimpri police on Sunday registered an offence against three men from Kharalwadi for demanding a ransom of Rs 20,000 from a Pimpri resident. When the man refused to give them the money, the trio thrashed him and robbed Rs 10,000 from him. When the trio learnt that the man was going to the police, they beat up his father, the Pimpri police said.	Three booked on extortion charges
130	Yerawada	DECEPTIVE PRACTICE	2/20/2018	The Yerawada police have registered an offence against a suspect for duping a 34-year-old woman to the tune of Rs 80,000 on the promise of getting her husband a job at Lohegaon airport. The suspect also took the original mark lists, PAN card, Aadhaar card and fled. The probe said the man has duped more persons using the same modus.	Yerawada police book man for duping
131	Kondhve Dhavade	ASSAULT	2/20/2018	A man from Kondhve Dhavade assaulted a 50-year-old man with weapons near a public toilet in Bhairavanathnagar in Kondhve Dhavade on Sunday after a quarrel. The Uttamnagar police said the victim Suresh Shinde sustained injuries in his chest and ribs.	50-year-old man injured in assault
132	Market Yard	ASSAULT	2/21/2018	A 55-year-old fruit vendor who was severely beaten by a youth on Saturday near Market Yard succumbed to his injuries on Monday. Police have identified the deceased as Sesman Jaswal of Hamalnagar and have arrested the 19-year-old suspect under charges of murder.	Youth held for murder
133	Ambegaon-Khurd	ASSAULT	2/21/2018	A gang of seven men assaulted a 17-year-old youth with sharp weapons at Ambegaon-Khurd on Monday night, following an old rivalry. The complainant, Rohad Dangi of Bhavani Peth, sustained injuries on his head and back. Police have registered an offence of attempt to murder against the suspects.	7 booked for assault
134	Satara Road	OTHERS	2/21/2018	The Pune crime branch on Monday arrested Nilesh Bharam (30), a criminal on police records, and seized a country made pistol and sevenlive cartridges from him.The team led by inspector Rajendra Kadam arrested him from Satara Road.	Man in net with firearm
135	Bhor	THEFT	2/21/2018	Unidentified persons made away with gold ornaments and cash, collectively worth Rs 2.10 lakh, from a marriage hall in Bhor on Monday evening. The theft came to light around 5 pm when bride’s relative found that a bag containing gold necklace and cash was missing. 	Valuables stolen
136	Kothrud	DECEPTIVE PRACTICE	2/21/2018	An unscrupulous executive landed in the police net after conning an acquaintance out of more than Rs 11 lakh. The suspect — a regional sales manager for a headset vendor — promised a Kothrud-based computer peripherals trader, Vidyadhar Bhamburkar, that he would help him land a lucrative order from the Defense Research and Development Organization (DRDO).	Computer dealer falls prey to e-mail scam, loses ₹11.2 lakh
137	Sangvi	DECEPTIVE PRACTICE	2/21/2018	A 31-year-old techie was duped of Rs 1.60 lakh by an NRI woman, whom he had befriended on a matrimonial website. The woman took the money telling him that she had been detained by customs officials at New Delhi airport with jewelry and foreign currency. On Monday, the engineer lodged a complaint with the Sangvi police.	Software consultant duped of ₹1.60 lakh in matrimonial fraud
138	Mundhwa	SEXUAL OFFENSE	2/21/2018	An MBA student has been arrested for stalking a 21-year-old woman from March last year. The woman and the suspect stay in the same neighborhood. The 29-year-old student had proposed marriage to the woman — a cost accountancy student — and started sending her text messages. He then started stalking her and threatened to commit suicide and also kill her mother if she did not marry him. Fed up with the harassment, the woman lodged an FIR with the Mundhwa police on Monday.	Cops arrest MBA student for stalking, threatening woman
139	Hadapsar	THEFT	2/22/2018	Spraying itching powder on clothes of a 31-year-old Hadapsar resident, two men on Wednesday morning decamped with his bag containing Rs 3.90 lakh on B T Kawde Road.	Duo sprays powder on man, flees with ₹3.9 lakh
140	Yerawada	SEXUAL OFFENSE	2/22/2018	The Yerawada police on Tuesday arrested a 19-year-old youth for stalking a 15-year-old schoolgirl since February 11. The girl and boy study in the same institute, and are acquainted with each other. She studies in Class IX, while the suspect is a Class XI student.	Youth held for stalking schoolgirl
141	Bhosari	SEXUAL OFFENSE	2/22/2018	A man (24) was arrested on Tuesday for outraging the modesty of a 19-year-old woman while she was feeding her child in her home. The suspect had abused the woman and threatened to kill her, too. An officer of the Bhosari MIDC police said the incident occurred on Monday evening, when the woman was alone at home.	Man outrages modesty of 19-year-old
142	Raviwar Peth	THEFT	2/22/2018	Four armed robbers targeted a jewelry shop in Sugandhi Galli at Raviwar Peth and fled with gold jewelry weighing 800 gm, worth more than Rs 18 lakh, and Rs 30,000 in cash late on Wednesday afternoon. Manoj Jain (34) of Payal Gold lodged a complaint with the Faraskhana police. Senior inspector B G Ambure said the shop is located in the Nandan Terrace building and is owned by Lloyd Edmund Ferrao. Manoj Jain is Ferrao’s brother-in-law.	4 robbers hit jeweler, flee with valuables worth ₹18 lakh
143	Pimpri	OTHERS	2/22/2018	The Pimpri police on Wednesday arrested a criminal on police records and recovered a country-made revolver and a cartridge from him. The suspect, Dinesh Shingade (25) of Kharalwadi in Pimpri, was externed from the city limits last year. He has cases registered against him with various police stations in the city.	Criminal held with revolver, live cartridge
144	Vishrantwadi	THEFT	2/22/2018	"Some persons broke into a shop on Alandi Road and made away with Rs 75,000 on the intervening night of Friday and Saturday.

The theft came to light on Saturday morning when shop owner Sunil Agarwal arrived at the shop. He lodged a complaint with the Vishrantwadi police on Tuesday. V S Mohite, sub-inspector of the Vishrantwadi police, is probing the case."	Shop break-in on Alandi Road
145	Hinjewadi	THEFT	2/22/2018	Barely weeks after an Ahmednagar court granted bail to two criminals on police records, they headed to Pune to commit burglaries. The duo committed six burglaries in the city over the past 20 days. A tip-off received by police constable Dinesh Gadankush landed the suspects Pinya Kale (25) and Atul Kale (25), currently residing at Induri in Maval taluka, behind bars yet again on Tuesday. The police have recovered 65 gm gold and Rs 35,000, collectively worth Rs 2.10 lakh, from the duo. The crime branch (unit-II) team arrested the duo from Hinjewadi.	Police nab two out-on-bail burglars, solve six cases
146	Bhosari	THEFT	2/22/2018	The police have booked four men riding a motorcycle for robbed Rs 2,200 from a 33-year-old man in Bhosari. The incident took place on Monday at Gulve Vasti when Anil Sardar was walking home. Sardar alleged that the suspects had also abused and beat him.	4 booked for robbery
147	Bund Garden	ASSAULT	2/22/2018	The Bund Garden police on Monday booked a 27-year-old man for assaulting Arun Shetty (22) with a sharp weapon. Shetty sustained injuries on his hands. The suspect also thrashed Shetty with a stick. Police sub-inspector A S Jamdade is investigating the case.	Man assaulted
148	Chakan	DECEPTIVE PRACTICE	2/23/2018	The state anti-corruption bureau (ACB), Pune, on Thursday arrested a 41-year old wireman from MSEDCL’s Chakan office while accepting Rs 20,000 as bribe for installing electricity meter at a workshop in Chakan MIDC. The suspect has been identified as Lahu Kache of Chakan.	Wireman held for accepting bribe
149	Shivajinagar	DECEPTIVE PRACTICE	2/23/2018	The ACB, Pune, on Thursday arrested the assistant registrar at the officer of deputy registrar cooperatives while accepting Rs 10,000 as bribe for forwarding a proposal of a cooperative society. The suspect Satish Thamal (51) was caught red-handed in the office located at Sakhar Sankul in Shivajinagar.	Assistant registrar arrested for graft
150	Navle bridge	HIT AND RUN	2/23/2018	Kalidas Upase (37) of Latur district was killed after he came under the wheels of a reversing tempo on the service road near Navle bridge on Tuesday night. The Sinhagad Road police said that the accident occurred when Upase was transferring gunny bags into the tempo from a container. Hit and run.	Man crushed under wheels of tempo
151	Hadapsar	SEXUAL OFFENSE	2/23/2018	The Hadapsar police on Wednesday arrested a youth(20) for stalking and harassing a 15-year-old schoolgirl for about six months.	Youth held for stalking schoolgirl
152	Bhosari	THEFT	2/23/2018	Bhosari police have booked two employees of a mall in Phugewadi on Pune-Mumbai highway for stealing garments worth Rs 5 lakh of a leading brand over the past six months.	Garment theft glare on mall staffers
153	Raviwar Peth	THEFT	2/23/2018	The crime branch of the Pune police on Thursday arrested four men from Vapi railway station in Gujarat for robbing Payal Gold in Raviwar Peth of cash and 800 gm gold, totally worth Rs 24.73 lakh, on Wednesday.	Crime branch nabs 6 for jewelry shop robbery
154	Pradhikaran	THEFT	2/23/2018	Some persons made away with music systems worth Rs 1.08 lakh from three cars parked in the Pradhikaran area on the intervening night of Tuesday and Wednesday.	Music systems stolen from cars
155	Kondhwa	THEFT	2/24/2018	The four-member itching powder spray gang struck for the fifth time within a week on Thursday afternoon outside a private bank at Jyoti Chowk in Kondhwa and fled with a businessman’s bag containing Rs 65,000.	Gang steals bizman’s cash bag in Kondhwa using itching powder
156	Mulshi	MURDER	2/24/2018	Crime branch sleuths on Friday arrested two aides of gangster Nilesh Gawde and recovered two country-made pistols and six cartridges from the duo. Both Datta Malpote (25) and Nilesh Shinde (28) were on the run after the murder of Rajendra Kumbhar (37) in Mulshi on February 2.	Duo held, firearms seized
157	Vadgaonsheri	DECEPTIVE PRACTICE	2/24/2018	In the space of seven hours, a 42-year-old woman from Vadgaonsheri lost more than Rs 4 lakh to online banking fraud.	Cyber-crook siphons off ₹4.64 lakh from 42-yr-old woman’s account
158	Ambegaon 	DECEPTIVE PRACTICE	2/24/2018	The state anti-corruption bureau (ACB) Pune on Friday arrested an assistant engineer from MSEDCL’s Ambegaon office while accepting Rs 11,000 as bribe from a private electric contractor. The suspect, Swapnil Jadhav (28), had demanded money money to help the contractor in preparing estimate of 11 electricity meters at a construction site in Ambegaon.	MSEDCL staffer held for graft
159	Sinhagad Road 	THEFT	2/24/2018	Two men on a bike snatched a gold chain worth Rs 75,000 of an elderly woman of Manibandh Apartments on Sinhagad Road around 8.15 pm on Friday. The incident occurred when the woman’s 78-year-old husband was parking his scooter in the building.	Gold chain snatched
160	Baner	THEFT	2/24/2018	Two men on a bike snatched a purse containing Rs 2 lakh of a 28-year-old woman in Baner on Thursday noon. The incident occurred when the woman was riding pillion on a motorcycle with her husband.	Purse grabbed
161	Katraj	HIT AND RUN	2/24/2018	Nirajkumar Patel (30), a laborer, from Katraj was killed in a hit-and-run accident near Pashan on Wednesday. The Hinjewadi police said the accident occurred around 2.30 am when Patel was heading towards Shindewadi on his motorcycle.	Laborer killed
162	Hadapsar	THEFT	2/24/2018	Some persons stole a gold chain worth Rs 1.80 lakh of a woman while she was travelling by a PMPML bus between Hadapsar and Sangvi on Wednesday.	Chain stolen in bus
163	Ganesh Peth	MURDER	2/25/2018	Two persons were detained on Saturday for their alleged involvement in the murders of two men and a boy, a day after their bodies were found floating in the water of Nagzari nullah under Daruwalla bridge in Ganesh Peth.	Police detain two men on a high in Nagzari nullah triple murder case
164	Pune Cantonment	ASSAULT	2/25/2018	The Pune Cantonment police on Saturday arrested two vendors from Gawliwada area for attacking Pune Cantonment Board’s chief health superintendent Sanjay Zende. The vendors attacked the official while he was taking action against illegal vendors in a lane near hotel Aurora Towers, off M G Road, around 4.15 pm on Friday.	Hawkers attack health official from Cantonment Board
165	Sopanbaug	THEFT	2/25/2018	Burglars broke into the bungalow of a 71-year-old army widow and stole cash and ornaments totally worth Rs 15.45 lakh. Bungalow in Empress View housing society at Sopanbaug.	Valuables worth ₹15.5 lakh stolen from 71-year-old’s bungalow
166	Kothrud	VANDALISM	2/25/2018	As many as six two-wheeler and three auto-rickshaws were damaged in Sutardara area, off Paud road, during the wee hours of Saturday. Senior inspector Appasaheb Shewale of Kothrud police station said that two unidentified suspects pushed the two-wheeler off their stands and pelted stones at the auto-rickshaws.	Duo damages vehicles in Kothrud
167	Warje	HIT AND RUN	2/25/2018	Warje police have booked a PMPML bus driver for rash and negligent driving, which resulted in death of motorcyclist Sunil Jori (53) on Friday evening in front of Kakade City on Karve road. The police said that the driver rammed into the motorcyclist before speeding away from the spot.	Bus driver booked for biker’s death
168	Bhosari	ASSAULT	2/25/2018	The MIDC Bhosari police have booked an unidentified man for physically abusing and issuing threats to RTO officer Subodh Medasikar on Thursday afternoon. According to the complaint, when Medasikar asked the man to wait he became infuriated and physically abused him.	Man threatens RTO officer
169	Hadapsar	THEFT	2/25/2018	The crime branch of the Pune police on Saturday arrested a 19-year-old youth for stealing 31 smartphones from commuters travelling in state transport and PMPML buses. Arrested in Hadapsar.	Youth arrested for stealing 31 smartphones
170	Sahakarnagar	THEFT	2/25/2018	The Sahakarnagar police have detained two minor boys for robbing Rs 4,500 from a chicken shop at Taljai hill around 4.30 pm on Friday.	Two minors detained for stealing cash
171	Sinhagad fort	OTHERS	2/26/2018	An assistant engineer with a public broadcasting agency was arrested by the Pune rural police on Sunday for soaking in the sun while sitting nude in the backyard of the agency’s high power transmission facility atop the Sinhagad fort, a popular tourist spot located about 30 km from here.	Man sunbathes in the nude at Sinhagad fort, arrested
172	Vadgaon bridge	HIT AND RUN	2/26/2018	A tempo ran over a 22-year-old motorcycle rider, Girish Sanjay Kale of Narhe, on Saturday afternoon on Vadgaon bridge on the Katraj-Dehu Road bypass on Saturday afternoon. Kale was heading for Katraj when the tempo rammed his two-wheeler.	22-yr-old dies in hit-and-run
173	Karvenagar	THEFT	2/26/2018	Two motorcycle riders snatched a gold chain worth Rs 60,000 from to a 27-year-old woman, a resident of Karvenagar, on Lane No. 3 of Alankar society, police said. In another incident, bikers snatched a gold chain worth Rs 90,000 from Machindra Kate (39) at Pimple Saudagar.	Two separate cases of chain snatching
174	Hadapsar	OTHERS	2/26/2018	The police on Saturday booked four for abetting the suicide of a businessman in Hadapsar. Arvind Phalke had shot himself dead at home on Friday. According to a complaint lodged by Phalke’s son Akshay (28), the suspects had siphoned off Rs 8 crore from Phalke’s company.	Cops book four for abetting suicide
175	Ghorpadi	SEXUAL OFFENSE	2/26/2018	The Yerawada police have booked a techie, working for a software company in Yerawada, for stalking and molesting his colleague and following her from the office to her residence in Ghorpadi on Thursday evening.	Techie booked for stalking colleague
176	Vishrantwadi	THEFT	2/26/2018	While the bridegroom’s mother was busy posing for photographs with the newlywed couple, someone picked up her purse, containing Rs 1.77 lakh cash, and fled the marriage hall located on Dhanori Road in Vishrantwadi. The 49-year-old woman has lodged a complaint with the Vishrantwadi police.	₹1.77 lakh cash stolen from Vishrantwadi marriage hall
177	Hinjewadi	ASSAULT	2/27/2018	Three persons were arrested on Monday and their 24 accomplices were booked, a day after they beat up residents of a housing society at Maan village near Hinjewadi IT Park.	Three intruders arrested for beating up society members during meeting
178	Bavdhan	ASSAULT	2/27/2018	The Hinjewadi police on Sunday registered an offence against a man engaged in providing internet services and his two accomplices for assaulting another man in the same business after the latter refused to shut down his business. The incident occurred in Bavdhan late on Saturday night.	Trio assault 23-year-old over internet biz rivalry
179	Khadak	SEXUAL OFFENSE	2/27/2018	The Khadak police on Sunday registered an offence against a person for stalking the 17-year-old daughter of his neighbor for the past 15 days.	One booked for stalking minor girl
180	Katraj	SEXUAL OFFENSE	2/27/2018	The Bharati Vidyapeeth police on Sunday booked a man for outraging the modesty of a 25-year-old woman near Rajiv Gandhi Zoological Park in Katraj on Sunday morning.	Molestation near zoo
181	Kasarwadi	HIT AND RUN	2/27/2018	Manda Chaskar, 60, was run over by a speeding car at Kasarwadi on Thursday morning. The driver of the car fled from the spot after the accident, which took place as Chaskar was crossing the road, Bhosari police said.	Woman run over by car in Kasarwadi
182	Dattawadi	ASSAULT	2/27/2018	The Dattawadi police on Sunday booked a 65-year-old man for assaulting a woman and her nephew with sharp weapon, following a petty quarrel. The incident took around 7.30 pm on Sunday at Dandekar bridge slums. The suspect too sustained injuries in the altercation.	Man booked for murder attempt
183	Shirasgaon Kata	MURDER	2/27/2018	A 63-year-old woman and her domestic help (60) were found murdered on Sunday night at their residence at Shirasgaon Kata, a hamlet on the Shikrapur-Shrigonda road in Shirur taluka, about 90 km from here.	Two elderly persons found stabbed to death at home
184	Sangvi	THEFT	2/27/2018	The Sangvi police on Sunday busted a four-member gang involved in stealing batteries used in automated teller machines (ATMs).	Four steal ATM batteries, held
185	Thergaon	THEFT	2/28/2018	Two unidentified men, posing as policemen, struck twice to rob two women of their gold ornaments, collectively worth Rs 1.75 lakh, in Thergaon on Monday afternoon.	Posing as cops, duo rob women
186	Dhankawdi	ASSAULT	2/28/2018	The Sahakarnagar police on Tuesday arrested Harshad Deshmukh (22) of Dhankawdi for assaulting and robbing a shop owner late on Monday night. The suspect had barged into the shop and forcibly took Rs 500 from its counter. When the owner, Karankumar Gupta, tried to stop Deshmukh, the latter assaulted him with a sharp weapon, police said.	Youth arrested for robbing shop owner
